timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777992399.680416,-0.502805,0.965689,2.289000,327.106384,423.414886,0.629632,4.642107,0.841974,depth,1
1777992399.691540,-0.493618,0.949439,2.249000,327.183136,423.534790,0.632664,4.585385,0.852391,depth,1
1777992399.702665,-0.496654,0.953877,2.261000,327.106384,423.414886,0.629784,4.649716,0.841974,depth,1
1777992399.713790,-0.494496,0.951128,2.253000,327.183136,423.534790,0.633455,4.624922,0.852391,depth,1
1777992399.724915,-0.502805,0.965689,2.289000,327.106384,423.414886,0.629928,4.656925,0.841974,depth,1
1777992399.736039,-0.498886,0.959571,2.273000,327.183136,423.534790,0.633598,4.632067,0.852391,depth,1
1777992399.747164,-0.499290,0.958939,2.273000,327.106384,423.414886,0.629322,4.626611,0.841974,depth,1
1777992399.758289,-0.500169,0.960627,2.277000,327.106384,423.414886,0.629022,4.611638,0.841974,depth,1
1777992399.769413,-0.501926,0.964002,2.285000,327.106384,423.414886,0.628548,4.587934,0.841974,depth,1
1777992399.780539,-0.494018,0.948814,2.249000,327.106384,423.414886,0.629636,4.642335,0.841974,depth,1
1777992399.791664,-0.494018,0.948814,2.249000,327.106384,423.414886,0.629158,4.618435,0.841974,depth,1
1777992399.802788,-0.496252,0.954505,2.261000,327.183136,423.534790,0.632521,4.578249,0.852391,depth,1
1777992399.813914,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629659,4.643486,0.841974,depth,1
1777992399.825038,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629795,4.650288,0.841974,depth,1
1777992399.836163,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629000,4.610514,0.841974,depth,1
1777992399.847288,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629377,4.629392,0.841974,depth,1
1777992399.858413,-0.502805,0.965689,2.289000,327.106384,423.414886,0.629561,4.638576,0.841974,depth,1
1777992399.869537,-0.499290,0.958939,2.273000,327.106384,423.414886,0.630400,4.680502,0.841974,depth,1
1777992399.880662,-0.496654,0.953877,2.261000,327.106384,423.414886,0.630395,4.680285,0.841974,depth,1
1777992399.891787,-0.497533,0.955564,2.265000,327.106384,423.414886,0.630408,4.680939,0.841974,depth,1
