timestamp_s,depth_m,pixel_u,pixel_v
1777992382.667834,2.289000,351.299133,297.837616
1777992382.678954,2.293000,351.985748,298.222809
1777992382.690073,2.301000,352.887756,298.620758
1777992382.701194,2.293000,353.559998,298.940002
1777992382.712313,2.293000,354.208740,299.020203
1777992382.723433,2.293000,354.839081,299.238098
1777992382.734554,2.285000,355.323822,299.509521
1777992382.745673,2.285000,355.884552,299.720337
1777992382.756793,2.253000,356.123566,299.811371
1777992382.767913,2.277000,356.578094,299.832520
1777992382.779033,2.265000,356.945557,299.653473
1777992382.790152,2.249000,357.119171,299.592590
1777992382.801273,2.273000,357.271423,299.476196
1777992382.812392,2.285000,357.601288,299.259979
1777992382.823511,2.277000,357.818329,299.314362
1777992382.834632,2.277000,357.927765,299.170776
1777992382.845751,2.273000,357.975739,299.092224
1777992382.856870,2.285000,358.019226,299.052887
1777992382.867991,2.289000,358.111664,298.937592
1777992382.879110,2.289000,358.111664,298.937592
1777992382.890229,2.289000,358.111664,298.937592
1777992382.901350,2.289000,358.048553,299.000000
1777992382.912469,2.273000,358.037781,299.170776
1777992382.923588,2.289000,357.927765,299.170776
1777992382.934708,2.261000,357.914246,299.364075
1777992382.945827,2.261000,357.763885,299.550934
1777992382.956946,2.273000,357.686829,299.691467
1777992382.968066,2.273000,357.553436,299.886749
1777992382.979186,2.277000,357.410736,299.897308
1777992382.990305,2.285000,357.099365,299.980774
1777992383.001424,2.285000,357.019226,300.052887
1777992383.012544,2.265000,356.547729,300.184662
1777992383.023663,2.277000,356.353668,300.212830
1777992383.034782,2.285000,355.919495,300.291473
1777992383.045902,2.293000,355.462616,300.467285
1777992383.057020,2.277000,354.985291,300.475494
1777992383.068139,2.301000,354.458344,300.478394
1777992383.079259,2.301000,354.017700,300.407410
1777992383.090378,2.265000,353.331787,300.420166
1777992383.101497,2.293000,352.561310,300.410370
1777992383.112617,2.293000,352.027374,300.291473
1777992383.123736,2.289000,351.204498,300.191620
1777992383.134855,2.317000,350.461304,300.126373
1777992383.145974,2.289000,349.514435,300.052887
1777992383.157093,2.305000,348.509705,299.980591
1777992383.168212,2.301000,347.452484,299.832520
1777992383.179331,2.285000,346.435638,299.711212
1777992383.190450,2.289000,345.235504,299.326691
