t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
4.240,362,1777799534635.966,11.128,0
4.251,363,1777799534647.093,11.127,0
4.262,364,1777799534658.220,11.127,0
4.273,365,1777799534669.349,11.129,0
4.284,366,1777799534680.477,11.127,0
4.295,367,1777799534691.604,11.127,0
4.306,368,1777799534702.733,11.129,0
4.317,369,1777799534713.860,11.127,0
4.329,370,1777799534724.988,11.128,0
4.340,371,1777799534736.116,11.129,0
4.351,372,1777799534747.244,11.127,0
4.362,373,1777799534758.372,11.128,0
4.373,374,1777799534769.500,11.129,0
4.384,375,1777799534780.628,11.128,0
4.396,376,1777799534791.756,11.128,0
4.406,377,1777799534802.884,11.129,0
4.418,378,1777799534814.012,11.128,0
4.429,379,1777799534825.140,11.128,0
4.440,380,1777799534836.269,11.129,0
4.451,381,1777799534847.396,11.128,0
4.462,382,1777799534858.524,11.127,0
4.473,383,1777799534869.655,11.131,0
4.495,385,1777799534891.915,22.260,1
4.507,386,1777799534903.046,11.131,1
4.518,387,1777799534914.176,11.130,1
4.529,388,1777799534925.306,11.130,1
4.540,389,1777799534936.438,11.131,1
4.551,390,1777799534947.568,11.130,1
4.562,391,1777799534958.698,11.130,1
4.574,392,1777799534969.829,11.131,1
4.585,393,1777799534980.960,11.130,1
4.596,394,1777799534992.090,11.131,1
4.607,395,1777799535003.221,11.130,1
4.618,396,1777799535014.352,11.132,1
4.629,397,1777799535025.483,11.131,1
4.640,398,1777799535036.614,11.131,1
4.651,399,1777799535047.745,11.132,1
4.663,400,1777799535058.876,11.131,1
4.674,401,1777799535070.007,11.131,1
4.685,402,1777799535081.138,11.132,1
4.696,403,1777799535092.269,11.131,1
4.707,404,1777799535103.400,11.131,1
4.718,405,1777799535114.532,11.132,1
4.729,406,1777799535125.663,11.131,1
4.740,407,1777799535136.794,11.131,1
4.751,408,1777799535147.926,11.132,1
4.762,409,1777799535159.057,11.131,1
4.774,410,1777799535170.188,11.131,1
4.785,411,1777799535181.321,11.132,1
4.796,412,1777799535192.452,11.131,1
4.807,413,1777799535203.583,11.131,1
4.818,414,1777799535214.716,11.132,1
4.829,415,1777799535225.847,11.131,1
