timestamp_s,depth_m,pixel_u,pixel_v
1777900761.296494,2.428000,389.862579,27.842106
1777900761.307623,2.502000,389.572266,29.112095
1777900761.318750,2.410000,389.379791,30.581966
1777900761.329877,2.375000,389.040314,31.951612
1777900761.341005,2.354000,388.600555,33.283745
1777900761.352132,2.350000,388.417328,34.853020
1777900761.363260,2.363000,388.096680,36.567429
1777900761.374388,2.375000,387.904755,38.063492
1777900761.385515,2.465000,387.345856,39.769424
1777900761.396642,2.419000,387.207062,41.553032
1777900761.407770,2.442000,387.132843,43.393482
1777900761.418898,2.451000,386.903717,45.269135
1777900761.430025,2.424000,386.723053,47.308823
1777900761.441153,2.419000,386.580872,49.122547
1777900761.452280,2.437000,386.416107,51.229885
1777900761.463408,2.428000,386.396820,53.287983
1777900761.474535,2.460000,386.344513,55.310963
1777900761.485663,2.410000,386.421051,57.388157
1777900761.496790,2.437000,386.454559,59.454544
1777900761.507917,2.442000,386.420288,61.625259
1777900761.519046,2.437000,386.434967,63.800812
1777900761.530173,2.419000,386.823761,65.961685
1777900761.541300,2.442000,386.982941,68.145836
1777900761.552428,2.465000,387.121216,70.360069
1777900761.563555,2.474000,387.447357,72.515793
1777900761.574682,2.469000,387.766998,74.561226
1777900761.585811,2.469000,388.244232,76.764023
1777900761.596938,2.455000,388.598999,79.009903
1777900761.608065,2.512000,389.033661,81.314102
1777900761.619193,2.521000,389.742584,83.519798
1777900761.630320,2.502000,390.241974,85.693741
1777900761.641447,2.521000,390.968750,87.829865
1777900761.652575,2.428000,391.636047,89.994598
1777900761.663703,2.502000,392.488770,92.159180
1777900761.674830,2.517000,393.329437,94.173492
1777900761.685958,2.521000,394.097809,96.201599
1777900761.697085,2.469000,394.751953,98.093025
1777900761.708212,2.437000,395.668579,100.200386
1777900761.719340,2.502000,396.633514,102.031311
1777900761.730468,2.465000,397.556183,103.977531
1777900761.741595,2.479000,398.356262,105.797180
1777900761.752723,2.488000,399.275757,107.589874
1777900761.763850,2.541000,400.091827,109.314629
1777900761.774977,2.581000,401.095490,110.888290
1777900761.786105,2.517000,402.111115,112.609261
1777900761.797232,2.451000,403.102264,113.839012
1777900761.808360,2.455000,403.882599,115.398323
1777900761.819488,2.451000,404.913727,116.833336
1777900761.830615,2.442000,405.797974,118.167679
1777900761.841742,2.576000,406.532471,119.303032
1777900761.852870,2.643000,407.321991,120.383217
1777900761.863997,2.617000,408.203003,121.664528
1777900761.875124,2.546000,409.539764,122.640152
1777900761.886252,2.617000,410.240631,123.313469
1777900761.897380,2.571000,411.014923,124.116913
1777900761.908507,2.531000,412.219299,125.032898
1777900761.919634,2.465000,412.987000,125.575760
1777900761.930762,2.517000,413.157471,126.278122
1777900761.941889,2.556000,413.975311,126.744858
1777900761.953016,2.638000,414.128571,127.500000
1777900761.964144,2.576000,414.962036,127.852318
1777900761.975272,2.643000,415.418610,128.015503
1777900761.986399,2.512000,416.059784,128.057465
1777900761.997527,2.556000,416.567719,128.177078
1777900762.008654,2.638000,416.891663,128.238892
1777900762.019781,2.561000,417.346039,127.784126
1777900762.030910,2.561000,417.625000,127.782051
1777900762.042037,2.617000,417.575470,127.738991
1777900762.053164,2.633000,417.419128,127.640266
1777900762.064292,2.627000,416.850677,127.805336
1777900762.075419,2.521000,416.447998,127.402664
1777900762.086546,2.571000,415.860291,127.129906
1777900762.097674,2.576000,415.055206,126.944801
1777900762.108802,2.612000,414.128571,126.500000
