timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901229.774260,-0.296620,0.106296,2.659000,373.731934,258.703949,0.602894,3.010506,0.856710,depth,1
1777901229.785387,-0.299539,0.106707,2.681000,373.657135,258.628571,0.608093,3.006172,0.869924,depth,1
1777901229.796515,-0.298852,0.106961,2.675000,373.659760,258.708038,0.608116,3.031927,0.868692,depth,1
1777901229.807642,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603028,3.017213,0.856710,depth,1
1777901229.818769,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603097,3.020643,0.856710,depth,1
1777901229.829896,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603088,3.020184,0.856710,depth,1
1777901229.841024,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603031,3.017344,0.856710,depth,1
1777901229.852151,-0.298868,0.106468,2.675000,373.657135,258.628571,0.608276,3.015331,0.869924,depth,1
1777901229.863279,-0.298079,0.105748,2.665000,373.604156,258.576385,0.617714,2.990130,0.894779,depth,1
1777901229.874406,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602752,3.003371,0.856710,depth,1
1777901229.885532,-0.297081,0.105832,2.659000,373.657135,258.628571,0.608873,3.045192,0.869924,depth,1
1777901229.896661,-0.296620,0.106296,2.659000,373.731934,258.703949,0.602993,3.015427,0.856710,depth,1
1777901229.907788,-0.298296,0.106576,2.675000,373.749420,258.645966,0.608318,3.042034,0.868692,depth,1
1777901229.918915,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608657,3.034370,0.869924,depth,1
1777901229.930043,-0.298310,0.106269,2.670000,373.657135,258.628571,0.608433,3.023153,0.869924,depth,1
1777901229.941170,-0.298310,0.106269,2.670000,373.657135,258.628571,0.608378,3.020400,0.869924,depth,1
1777901229.952297,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603075,3.019558,0.856710,depth,1
1777901229.963424,-0.297735,0.106562,2.665000,373.659760,258.708038,0.607874,3.019837,0.868692,depth,1
1777901229.974551,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603085,3.020059,0.856710,depth,1
1777901229.985678,-0.297735,0.106562,2.665000,373.659760,258.708038,0.608128,3.032560,0.868692,depth,1
1777901229.996806,-0.296177,0.105926,2.659000,373.803650,258.643829,0.598023,3.023591,0.843879,depth,1
