kind,hw_timestamp_s,host_timestamp_s,unified_time_s,x,y,z
accel,1777992390.385130,26353.353548,1777992390.385130,0.411879,-9.129991,1.225831
gyro,1777992390.382107,26353.353548,1777992390.382107,0.003196,0.004260,0.001597
accel,1777992390.392954,26353.364756,1777992390.392954,0.431493,-9.149604,1.294478
gyro,1777992390.392112,26353.364756,1777992390.392112,0.000532,0.004260,-0.003728
accel,1777992390.404691,26353.375692,1777992390.404691,0.431493,-9.110377,1.274864
gyro,1777992390.407119,26353.375692,1777992390.407119,0.001065,-0.003196,0.001597
accel,1777992390.416428,26353.386866,1777992390.416428,0.402073,-9.129991,1.274864
gyro,1777992390.417125,26353.386866,1777992390.417125,0.001597,-0.000532,0.000532
accel,1777992390.428165,26353.397955,1777992390.428165,0.431493,-9.129991,1.274864
gyro,1777992390.427130,26353.397955,1777992390.427130,0.002662,0.000532,-0.001065
accel,1777992390.439901,26353.409139,1777992390.439901,0.411879,-9.110377,1.235638
gyro,1777992390.437135,26353.409139,1777992390.437135,0.002662,0.005859,-0.001597
accel,1777992390.451637,26353.420418,1777992390.451637,0.411879,-9.090764,1.274864
gyro,1777992390.452142,26353.420418,1777992390.452142,0.002129,0.004260,-0.000532
accel,1777992390.459461,26353.431328,1777992390.459461,0.402073,-9.110377,1.235638
gyro,1777992390.462148,26353.431328,1777992390.462148,0.003196,-0.000532,-0.000532
accel,1777992390.471197,26353.442469,1777992390.471197,0.431493,-9.129991,1.255251
gyro,1777992390.472152,26353.442469,1777992390.472152,0.004260,0.004793,-0.002662
accel,1777992390.482932,26353.453684,1777992390.482932,0.431493,-9.129991,1.235638
gyro,1777992390.482158,26353.453684,1777992390.482158,0.000000,-0.002662,-0.001597
accel,1777992390.494667,26353.464714,1777992390.494667,0.431493,-9.110377,1.255251
gyro,1777992390.492163,26353.464714,1777992390.492163,-0.001065,0.001065,-0.002662
accel,1777992390.506403,26353.475861,1777992390.506403,0.431493,-9.129991,1.255251
gyro,1777992390.507170,26353.475861,1777992390.507170,0.002662,0.002129,-0.002129
accel,1777992390.518139,26353.487066,1777992390.518139,0.411879,-9.110377,1.225831
gyro,1777992390.517176,26353.487066,1777992390.517176,0.000000,0.002662,-0.004260
accel,1777992390.529874,26353.498114,1777992390.529874,0.411879,-9.129991,1.255251
gyro,1777992390.527181,26353.498114,1777992390.527181,0.001065,0.004260,-0.004793
accel,1777992390.537698,26353.509235,1777992390.537698,0.411879,-9.110377,1.255251
gyro,1777992390.537186,26353.509235,1777992390.537186,0.004260,-0.001065,-0.002662
accel,1777992390.549435,26353.520472,1777992390.549435,0.411879,-9.110377,1.294478
gyro,1777992390.552194,26353.520472,1777992390.552194,0.002129,0.000532,0.000000
accel,1777992390.561170,26353.531466,1777992390.561170,0.402073,-9.129991,1.255251
gyro,1777992390.562198,26353.531466,1777992390.562198,0.002129,0.000000,0.001597
accel,1777992390.572908,26353.542599,1777992390.572908,0.431493,-9.110377,1.225831
gyro,1777992390.572204,26353.542599,1777992390.572204,0.000532,0.000532,-0.002662
accel,1777992390.584644,26353.554022,1777992390.584644,0.411879,-9.110377,1.274864
gyro,1777992390.582209,26353.554022,1777992390.582209,0.002129,-0.001065,-0.006924
accel,1777992390.596380,26353.564919,1777992390.596380,0.411879,-9.129991,1.274864
gyro,1777992390.592213,26353.564919,1777992390.592213,0.009587,0.003728,-0.000532
